ENTDATESERVICETYPE,ENTDATEDAYOFWEEK,ENTSTATION,EXTSTATION,ENTPERIOD,ENTQUARTHOUR,AVG_TRIPS,congestion_level,old_cost,new_cost
Saturday,Sat,Navy Yard-Ballpark,Dupont Circle,PM Peak,4:00 PM to 4:15 PM,2,1.0,2.4,2.16
Weekday,Thu,Huntington,Gallery Pl-Chinatown,AM Peak,5:30 AM to 5:45 AM,5,1.0,4.05,3.6449999999999996
Weekday,Thu,Shady Grove,Judiciary Square,AM Peak,9:00 AM to 9:15 AM,11,2.0,6.0,4.8
Weekday,Thu,Foggy Bottom-GWU,Van Dorn Street,PM Peak,5:45 PM to 6:00 PM,10,2.0,4.55,3.6399999999999997
Weekday,Thu,L'Enfant Plaza,West Hyattsville,PM Peak,5:30 PM to 5:45 PM,12,2.0,3.45,2.7600000000000002
Weekday,Thu,Federal Center SW,Vienna/Fairfax-GMU,PM Peak,5:30 PM to 5:45 PM,12,2.0,5.85,4.68
Weekday,Thu,Capitol Heights,U Street/African-Amer Civil War Memorial/Cardozo,AM Peak,6:30 AM to 6:45 AM,1,1.0,3.75,3.375
Weekday,Thu,West Falls Church-VT/UVA,McPherson Square,Midday,11:30 AM to 11:45 AM,1,1.0,4.05,3.6449999999999996
Weekday,Thu,Union Station,L'Enfant Plaza,Midday,9:45 AM to 10:00 AM,7,1.0,2.25,2.025
Weekday,Thu,Archives-Navy Memorial-Penn Quarter,Ronald Reagan Washington National Airport,PM Peak,3:15 PM to 3:30 PM,5,1.0,2.55,2.295
Weekday,Thu,Metro Center,Forest Glen,Evening,7:45 PM to 8:00 PM,3,1.0,4.15,3.7350000000000003
Weekday,Thu,Gallery Pl-Chinatown,Bethesda,Evening,11:15 PM to 11:30 PM,2,1.0,3.6,3.24
Weekday,Thu,McPherson Square,Farragut West,PM Peak,4:00 PM to 4:15 PM,2,1.0,2.25,2.025
Weekday,Thu,Gallery Pl-Chinatown,Ronald Reagan Washington National Airport,Midday,12:45 PM to 1:00 PM,5,1.0,2.65,2.385
Weekday,Thu,Dunn Loring-Merrifield,Crystal City,AM Peak,6:00 AM to 6:15 AM,3,1.0,4.8,4.32
Weekday,Thu,L'Enfant Plaza,Wheaton,Midday,1:00 PM to 1:15 PM,1,1.0,4.8,4.32
Weekday,Thu,Bethesda,Woodley Park-Zoo/Adams Morgan,Evening,11:00 PM to 11:15 PM,2,1.0,2.8,2.52
Sunday,Sun,Southern Avenue,Silver Spring,PM Peak,4:45 PM to 5:00 PM,2,1.0,5.1,4.59
Weekday,Fri,Rosslyn,Federal Triangle,AM Peak,7:45 AM to 8:00 AM,11,2.0,2.25,1.8
Weekday,Thu,Columbia Heights,Wheaton,AM Peak,8:45 AM to 9:00 AM,2,1.0,3.9,3.51
Weekday,Thu,Friendship Heights,Vienna/Fairfax-GMU,PM Peak,3:30 PM to 3:45 PM,1,1.0,6.0,5.4
Weekday,Thu,Capitol Heights,McPherson Square,AM Peak,8:00 AM to 8:15 AM,6,1.0,3.65,3.285
Weekday,Thu,Navy Yard-Ballpark,Spring Hill,PM Peak,4:30 PM to 4:45 PM,2,1.0,5.9,5.3100000000000005
Weekday,Thu,Dupont Circle,Franconia-Springfield,Midday,12:15 PM to 12:30 PM,1,1.0,5.8,5.22
Weekday,Thu,Farragut North,L'Enfant Plaza,AM Peak,7:15 AM to 7:30 AM,1,1.0,2.25,2.025
Weekday,Thu,Takoma,Columbia Heights,PM Peak,5:30 PM to 5:45 PM,2,1.0,2.55,2.295
Weekday,Thu,King St-Old Town,Eastern Market,PM Peak,4:15 PM to 4:30 PM,2,1.0,3.75,3.375
Weekday,Thu,New Carrollton,Branch Ave,PM Peak,3:45 PM to 4:00 PM,2,1.0,5.55,4.995
Weekday,Thu,Cleveland Park,L'Enfant Plaza,AM Peak,6:30 AM to 6:45 AM,3,1.0,2.65,2.385
Weekday,Fri,Navy Yard-Ballpark,Shady Grove,PM Peak,3:00 PM to 3:15 PM,3,1.0,6.0,5.4
Weekday,Fri,Brookland-CUA,Ballston-MU,AM Peak,6:30 AM to 6:45 AM,2,1.0,3.9,3.51
Weekday,Thu,West Falls Church-VT/UVA,Virginia Square-GMU,AM Peak,7:30 AM to 7:45 AM,3,1.0,2.9,2.61
Weekday,Thu,College Park-U of Md,Archives-Navy Memorial-Penn Quarter,PM Peak,4:45 PM to 5:00 PM,3,1.0,4.1,3.6899999999999995
Weekday,Fri,Judiciary Square,Cheverly,PM Peak,3:15 PM to 3:30 PM,1,1.0,3.5,3.15
Saturday,Sat,Tenleytown-AU,Grosvenor-Strathmore,Midday,10:30 AM to 10:45 AM,1,1.0,3.15,2.835
Weekday,Thu,Benning Road,Ballston-MU,AM Peak,6:00 AM to 6:15 AM,1,1.0,4.55,4.095
Weekday,Thu,Judiciary Square,Judiciary Square,AM Peak,5:15 AM to 5:30 AM,2,1.0,,
Weekday,Thu,Federal Center SW,Pentagon City,Evening,7:15 PM to 7:30 PM,2,1.0,2.25,2.025
Weekday,Fri,Potomac Ave,King St-Old Town,AM Peak,6:30 AM to 6:45 AM,2,1.0,3.9,3.51
Sunday,Sun,Landover,Ballston-MU,Evening,7:45 PM to 8:00 PM,1,1.0,5.5,4.95
Saturday,Sat,Judiciary Square,Takoma,PM Peak,6:45 PM to 7:00 PM,4,1.0,3.25,2.925
Sunday,Sun,Union Station,Pentagon City,PM Peak,3:00 PM to 3:15 PM,6,1.0,2.65,2.385
Sunday,Sun,Columbia Heights,Wheaton,Midday,1:15 PM to 1:30 PM,5,1.0,3.9,3.51
Weekday,Thu,Columbia Heights,Forest Glen,PM Peak,4:45 PM to 5:00 PM,1,1.0,3.45,3.105
Weekday,Fri,Spring Hill,Capitol South,Midday,12:15 PM to 12:30 PM,5,1.0,5.8,5.22
Saturday,Sat,Dupont Circle,Woodley Park-Zoo/Adams Morgan,PM Peak,3:00 PM to 3:15 PM,9,1.0,2.25,2.025
Weekday,Fri,Union Station,Virginia Square-GMU,PM Peak,6:00 PM to 6:15 PM,5,1.0,3.1,2.79
Sunday,Sun,Cleveland Park,Metro Center,Midday,2:00 PM to 2:15 PM,3,1.0,2.3,2.07
Saturday,Sat,Foggy Bottom-GWU,Crystal City,Midday,1:15 PM to 1:30 PM,5,1.0,2.55,2.295
Weekday,Fri,Farragut West,McLean,Midday,2:15 PM to 2:30 PM,2,1.0,4.5,4.05
Weekday,Thu,Gallery Pl-Chinatown,Huntington,Evening,11:00 PM to 11:15 PM,4,1.0,4.05,3.6449999999999996
Weekday,Thu,Medical Center,Prince George's Plaza,Midday,2:15 PM to 2:30 PM,1,1.0,5.05,4.545
Weekday,Thu,Takoma,Rhode Island Ave-Brentwood,PM Peak,6:45 PM to 7:00 PM,1,1.0,2.6,2.34
Weekday,Fri,Southern Avenue,Union Station,Midday,1:30 PM to 1:45 PM,3,1.0,3.1,2.79
Weekday,Thu,Georgia Ave-Petworth,Foggy Bottom-GWU,Midday,11:45 AM to 12:00 PM,1,1.0,2.55,2.295
Weekday,Thu,McPherson Square,Dupont Circle,Evening,7:45 PM to 8:00 PM,4,1.0,2.25,2.025
Weekday,Thu,Georgia Ave-Petworth,Dupont Circle,Evening,8:45 PM to 9:00 PM,1,1.0,2.45,2.205
Weekday,Thu,Takoma,Farragut West,AM Peak,6:15 AM to 6:30 AM,2,1.0,3.4,3.06
