ENTSTATION,EXTSTATION,Fare
Pentagon,Foggy Bottom-GWU,2.25
Pentagon,Ballston-MU,2.6
Pentagon,Pentagon City,2.25
Pentagon,Metro Center,2.25
Pentagon,Morgan Boulevard,4.65
Pentagon,Wheaton,5.3
Pentagon,Virginia Square-GMU,2.45
Pentagon,Addison Road-Seat Pleasant,4.2
Pentagon,Tenleytown-AU,3.55
Pentagon,Deanwood,3.65
Pentagon,Medical Center,4.55
Pentagon,Georgia Ave-Petworth,3.15
Pentagon,Dupont Circle,2.5
Pentagon,McPherson Square,2.3
Pentagon,Landover,4.5
Pentagon,Spring Hill,5.1
Pentagon,Ronald Reagan Washington National Airport,2.25
Pentagon,Benning Road,3.5
Pentagon,Farragut West,2.3
Pentagon,Twinbrook,5.9
Pentagon,Wiehle-Reston East,6.0
Pentagon,Cheverly,4.0
Branch Ave,Silver Spring,6.0
Branch Ave,Rosslyn,4.8
Branch Ave,Farragut North,4.4
Branch Ave,Southern Avenue,2.55
Branch Ave,West Hyattsville,5.3
Branch Ave,Congress Heights,2.85
Branch Ave,Archives-Navy Memorial-Penn Quarter,4.0
Branch Ave,Waterfront,3.7
Branch Ave,Grosvenor-Strathmore,6.0
Branch Ave,Minnesota Ave,4.3
Branch Ave,Braddock Road,5.0
Branch Ave,East Falls Church,6.0
Branch Ave,Capitol South,3.9
Branch Ave,Naylor Road,2.25
Branch Ave,Van Dorn Street,6.0
Branch Ave,Cleveland Park,5.05
Branch Ave,Court House,5.05
Branch Ave,Arlington Cemetery,4.7
Branch Ave,Mt Vernon Sq 7th St-Convention Center,4.25
Branch Ave,Pentagon,4.35
Branch Ave,Potomac Ave,3.95
Branch Ave,Union Station,4.15
Branch Ave,College Park-U of Md,5.95
Branch Ave,Forest Glen,6.0
Branch Ave,Anacostia,3.2
Branch Ave,Vienna/Fairfax-GMU,6.0
Branch Ave,Largo Town Center,5.3
Branch Ave,U Street/African-Amer Civil War Memorial/Cardozo,4.45
Branch Ave,Glenmont,6.0
Branch Ave,Franconia-Springfield,6.0
Branch Ave,L'Enfant Plaza,3.9
Branch Ave,Navy Yard-Ballpark,3.55
Branch Ave,Clarendon,5.2
Branch Ave,Greenbelt,6.0
Branch Ave,NoMa-Gallaudet U,4.3
Branch Ave,McLean,6.0
Branch Ave,Woodley Park-Zoo/Adams Morgan,4.85
Branch Ave,Shaw-Howard U,4.35
Branch Ave,Federal Triangle,4.1
Branch Ave,Tysons Corner,6.0
Branch Ave,Federal Center SW,3.9
Branch Ave,New Carrollton,5.55
Branch Ave,Friendship Heights,5.7
Branch Ave,Huntington,5.5
Branch Ave,King St-Old Town,5.15
Branch Ave,Crystal City,4.5
Branch Ave,White Flint,6.0
Branch Ave,Takoma,5.65
Branch Ave,Smithsonian,4.0
Branch Ave,Bethesda,6.0
Branch Ave,Shady Grove,6.0
Branch Ave,Prince George's Plaza,5.55
Branch Ave,Dunn Loring-Merrifield,6.0
Branch Ave,Judiciary Square,4.1
Branch Ave,Stadium-Armory,4.05
Branch Ave,Gallery Pl-Chinatown,4.1
Branch Ave,Brookland-CUA,4.75
Branch Ave,Eastern Market,3.9
Branch Ave,Van Ness-UDC,5.2
Branch Ave,Capitol Heights,4.45
Branch Ave,Rockville,6.0
Branch Ave,Greensboro,6.0
Branch Ave,Rhode Island Ave-Brentwood,4.5
Branch Ave,Fort Totten,5.1
Branch Ave,West Falls Church-VT/UVA,6.0
Branch Ave,Columbia Heights,4.7
Branch Ave,Suitland,2.25
Branch Ave,Eisenhower Avenue,5.35
Branch Ave,Foggy Bottom-GWU,4.5
Branch Ave,Ballston-MU,5.45
Branch Ave,Pentagon City,4.45
Branch Ave,Metro Center,4.15
Branch Ave,Morgan Boulevard,4.95
Branch Ave,Wheaton,6.0
Branch Ave,Virginia Square-GMU,5.3
Branch Ave,Addison Road-Seat Pleasant,4.6
Branch Ave,Tenleytown-AU,5.5
Branch Ave,Deanwood,4.5
Branch Ave,Medical Center,6.0
Branch Ave,Georgia Ave-Petworth,4.85
Branch Ave,Dupont Circle,4.5
Branch Ave,McPherson Square,4.3
Branch Ave,Landover,5.2
Branch Ave,Spring Hill,6.0
Branch Ave,Ronald Reagan Washington National Airport,4.5
Branch Ave,Benning Road,4.3
Branch Ave,Farragut West,4.4
Branch Ave,Twinbrook,6.0
Branch Ave,Wiehle-Reston East,6.0
Branch Ave,Cheverly,4.75
Potomac Ave,Silver Spring,4.3
Potomac Ave,Rosslyn,3.0
Potomac Ave,Farragut North,2.45
Potomac Ave,Southern Avenue,2.9
Potomac Ave,West Hyattsville,3.65
Potomac Ave,Congress Heights,2.65
Potomac Ave,Archives-Navy Memorial-Penn Quarter,2.25
Potomac Ave,Waterfront,2.25
Potomac Ave,Grosvenor-Strathmore,5.25
Potomac Ave,Minnesota Ave,2.25
Potomac Ave,Braddock Road,3.7
Potomac Ave,East Falls Church,4.4
Potomac Ave,Capitol South,2.25
Potomac Ave,Naylor Road,3.05
Potomac Ave,Van Dorn Street,4.85
Potomac Ave,Cleveland Park,3.2
Potomac Ave,Court House,3.3
Potomac Ave,Arlington Cemetery,2.9
Potomac Ave,Mt Vernon Sq 7th St-Convention Center,2.25
Potomac Ave,Pentagon,2.6
Potomac Ave,Branch Ave,3.95
Potomac Ave,Union Station,2.25
Potomac Ave,College Park-U of Md,4.45
Potomac Ave,Forest Glen,4.75
Potomac Ave,Anacostia,2.25
Potomac Ave,Vienna/Fairfax-GMU,6.0
Potomac Ave,Largo Town Center,3.85
Potomac Ave,U Street/African-Amer Civil War Memorial/Cardozo,2.55
Potomac Ave,Glenmont,5.7
Potomac Ave,Franconia-Springfield,5.8
Potomac Ave,L'Enfant Plaza,2.25
Potomac Ave,Navy Yard-Ballpark,2.25
Potomac Ave,Clarendon,3.45
Potomac Ave,Greenbelt,5.15
Potomac Ave,NoMa-Gallaudet U,2.35
Potomac Ave,McLean,5.55
Potomac Ave,Woodley Park-Zoo/Adams Morgan,2.95
Potomac Ave,Shaw-Howard U,2.4
Potomac Ave,Federal Triangle,2.25
Potomac Ave,Tysons Corner,5.75
Potomac Ave,Federal Center SW,2.25
Potomac Ave,New Carrollton,3.8
Potomac Ave,Friendship Heights,3.9
Potomac Ave,Huntington,4.2
Potomac Ave,King St-Old Town,3.9
Potomac Ave,Crystal City,2.85
Potomac Ave,White Flint,5.65
Potomac Ave,Takoma,3.9
Potomac Ave,Smithsonian,2.25
Potomac Ave,Bethesda,4.35
Potomac Ave,Shady Grove,6.0
Potomac Ave,Prince George's Plaza,3.95
Potomac Ave,Dunn Loring-Merrifield,5.6
Potomac Ave,Judiciary Square,2.25
Potomac Ave,Stadium-Armory,2.25
Potomac Ave,Gallery Pl-Chinatown,2.25
Potomac Ave,Brookland-CUA,2.95
Potomac Ave,Eastern Market,2.25
Potomac Ave,Van Ness-UDC,3.35
Potomac Ave,Capitol Heights,2.7
Potomac Ave,Rockville,6.0
Potomac Ave,Greensboro,5.95
Potomac Ave,Rhode Island Ave-Brentwood,2.65
Potomac Ave,Fort Totten,3.35
Potomac Ave,West Falls Church-VT/UVA,5.0
Potomac Ave,Columbia Heights,2.8
Potomac Ave,Suitland,3.45
Potomac Ave,Eisenhower Avenue,4.1
Potomac Ave,Foggy Bottom-GWU,2.6
Potomac Ave,Ballston-MU,3.7
Potomac Ave,Pentagon City,2.75
Potomac Ave,Metro Center,2.25
Potomac Ave,Morgan Boulevard,3.45
Potomac Ave,Wheaton,5.2
Potomac Ave,Virginia Square-GMU,3.55
Potomac Ave,Addison Road-Seat Pleasant,3.0
Potomac Ave,Tenleytown-AU,3.65
Potomac Ave,Deanwood,2.4
Potomac Ave,Medical Center,4.65
Potomac Ave,Georgia Ave-Petworth,3.0
Potomac Ave,Dupont Circle,2.6
Potomac Ave,McPherson Square,2.35
Potomac Ave,Landover,3.35
Potomac Ave,Spring Hill,6.0
Potomac Ave,Ronald Reagan Washington National Airport,2.9
Potomac Ave,Benning Road,2.25
Potomac Ave,Farragut West,2.45
Potomac Ave,Twinbrook,5.95
Potomac Ave,Wiehle-Reston East,6.0
Potomac Ave,Cheverly,2.8
Union Station,Silver Spring,3.5
Union Station,Rosslyn,2.5
Union Station,Farragut North,2.25
Union Station,Southern Avenue,3.1
Union Station,West Hyattsville,2.95
Union Station,Congress Heights,2.85
Union Station,Archives-Navy Memorial-Penn Quarter,2.25
Union Station,Waterfront,2.25
Union Station,Grosvenor-Strathmore,4.75
Union Station,Minnesota Ave,2.9
Union Station,Braddock Road,3.75
Union Station,East Falls Church,4.0
Union Station,Capitol South,2.25
Union Station,Naylor Road,3.3
Union Station,Van Dorn Street,4.85
Union Station,Cleveland Park,2.6
Union Station,Court House,2.8
Union Station,Arlington Cemetery,2.6
Union Station,Mt Vernon Sq 7th St-Convention Center,2.25
Union Station,Pentagon,2.5
Union Station,Branch Ave,4.15
Union Station,Potomac Ave,2.25
Union Station,College Park-U of Md,3.85
Union Station,Forest Glen,4.0
Union Station,Anacostia,2.4
Union Station,Vienna/Fairfax-GMU,5.9
Union Station,Largo Town Center,4.6
Union Station,U Street/African-Amer Civil War Memorial/Cardozo,2.25
Union Station,Glenmont,4.95
Union Station,Franconia-Springfield,5.8
Union Station,L'Enfant Plaza,2.25
Union Station,Navy Yard-Ballpark,2.25
Union Station,Clarendon,2.95
Union Station,Greenbelt,4.55
Union Station,NoMa-Gallaudet U,2.25
Union Station,McLean,5.1
Union Station,Woodley Park-Zoo/Adams Morgan,2.4
Union Station,Shaw-Howard U,2.25
Union Station,Federal Triangle,2.25
Union Station,Tysons Corner,5.25
Union Station,Federal Center SW,2.25
Union Station,New Carrollton,4.4
Union Station,Friendship Heights,3.35
Union Station,Huntington,4.25
Union Station,King St-Old Town,3.9
Union Station,Crystal City,2.75
Union Station,White Flint,5.15
Union Station,Takoma,3.1
Union Station,Smithsonian,2.25
Union Station,Bethesda,3.85
Union Station,Shady Grove,6.0
Union Station,Prince George's Plaza,3.3
Union Station,Dunn Loring-Merrifield,5.15
Union Station,Judiciary Square,2.25
Union Station,Stadium-Armory,2.35
Union Station,Gallery Pl-Chinatown,2.25
Union Station,Brookland-CUA,2.25
Union Station,Eastern Market,2.25
Union Station,Van Ness-UDC,2.8
Union Station,Capitol Heights,3.5
Union Station,Rockville,6.0
Union Station,Greensboro,5.45
Union Station,Rhode Island Ave-Brentwood,2.25
Union Station,Fort Totten,2.55
Union Station,West Falls Church-VT/UVA,4.5
Union Station,Columbia Heights,2.25
Union Station,Suitland,3.65
Union Station,Eisenhower Avenue,4.1
Union Station,Foggy Bottom-GWU,2.25
Union Station,Ballston-MU,3.3
Union Station,Pentagon City,2.65
Union Station,Metro Center,2.25
Union Station,Morgan Boulevard,4.2
Union Station,Wheaton,4.45
Union Station,Virginia Square-GMU,3.1
Union Station,Addison Road-Seat Pleasant,3.8
Union Station,Tenleytown-AU,3.15
Union Station,Deanwood,3.15
Union Station,Medical Center,4.15
Union Station,Georgia Ave-Petworth,2.45
Union Station,Dupont Circle,2.25
Union Station,McPherson Square,2.25
Union Station,Landover,4.0
Union Station,Spring Hill,5.65
Union Station,Ronald Reagan Washington National Airport,2.85
Union Station,Benning Road,3.05
Union Station,Farragut West,2.25
Union Station,Twinbrook,5.45
Union Station,Wiehle-Reston East,6.0
Union Station,Cheverly,3.5
College Park-U of Md,Silver Spring,3.55
College Park-U of Md,Rosslyn,4.75
College Park-U of Md,Farragut North,4.25
College Park-U of Md,Southern Avenue,5.2
College Park-U of Md,West Hyattsville,2.25
College Park-U of Md,Congress Heights,5.05
College Park-U of Md,Archives-Navy Memorial-Penn Quarter,4.1
College Park-U of Md,Waterfront,4.45
College Park-U of Md,Grosvenor-Strathmore,6.0
College Park-U of Md,Minnesota Ave,4.6
College Park-U of Md,Braddock Road,6.0
College Park-U of Md,East Falls Church,6.0
College Park-U of Md,Capitol South,4.3
College Park-U of Md,Naylor Road,5.25
College Park-U of Md,Van Dorn Street,6.0
College Park-U of Md,Cleveland Park,4.55
College Park-U of Md,Court House,5.05
College Park-U of Md,Arlington Cemetery,4.9
College Park-U of Md,Mt Vernon Sq 7th St-Convention Center,3.9
College Park-U of Md,Pentagon,4.9
College Park-U of Md,Branch Ave,5.95
College Park-U of Md,Potomac Ave,4.45
College Park-U of Md,Union Station,3.85
College Park-U of Md,Forest Glen,3.95
College Park-U of Md,Anacostia,4.7
College Park-U of Md,Vienna/Fairfax-GMU,6.0
College Park-U of Md,Largo Town Center,5.65
College Park-U of Md,U Street/African-Amer Civil War Memorial/Cardozo,3.7
College Park-U of Md,Glenmont,4.75
College Park-U of Md,Franconia-Springfield,6.0
College Park-U of Md,L'Enfant Plaza,4.25
College Park-U of Md,Navy Yard-Ballpark,4.45
College Park-U of Md,Clarendon,5.2
College Park-U of Md,Greenbelt,2.25
College Park-U of Md,NoMa-Gallaudet U,3.65
College Park-U of Md,McLean,6.0
College Park-U of Md,Woodley Park-Zoo/Adams Morgan,4.45
College Park-U of Md,Shaw-Howard U,3.8
College Park-U of Md,Federal Triangle,4.2
College Park-U of Md,Tysons Corner,6.0
College Park-U of Md,Federal Center SW,4.3
College Park-U of Md,New Carrollton,5.1
College Park-U of Md,Friendship Heights,5.05
College Park-U of Md,Huntington,6.0
College Park-U of Md,King St-Old Town,6.0
College Park-U of Md,Crystal City,5.15
College Park-U of Md,White Flint,6.0
College Park-U of Md,Takoma,3.2
College Park-U of Md,Smithsonian,4.3
College Park-U of Md,Bethesda,5.35
College Park-U of Md,Shady Grove,6.0
College Park-U of Md,Prince George's Plaza,2.25
College Park-U of Md,Dunn Loring-Merrifield,6.0
College Park-U of Md,Judiciary Square,4.0
College Park-U of Md,Stadium-Armory,4.45
College Park-U of Md,Gallery Pl-Chinatown,4.05
College Park-U of Md,Brookland-CUA,3.1
College Park-U of Md,Eastern Market,4.35
College Park-U of Md,Van Ness-UDC,4.65
College Park-U of Md,Capitol Heights,4.95
College Park-U of Md,Rockville,6.0
College Park-U of Md,Greensboro,6.0
College Park-U of Md,Rhode Island Ave-Brentwood,3.35
College Park-U of Md,Fort Totten,2.85
College Park-U of Md,West Falls Church-VT/UVA,6.0
College Park-U of Md,Columbia Heights,3.55
College Park-U of Md,Suitland,5.5
College Park-U of Md,Eisenhower Avenue,6.0
College Park-U of Md,Foggy Bottom-GWU,4.4
College Park-U of Md,Ballston-MU,5.5
College Park-U of Md,Pentagon City,5.05
College Park-U of Md,Metro Center,4.1
College Park-U of Md,Morgan Boulevard,5.4
College Park-U of Md,Wheaton,4.3
College Park-U of Md,Virginia Square-GMU,5.35
College Park-U of Md,Addison Road-Seat Pleasant,5.15
College Park-U of Md,Tenleytown-AU,4.9
College Park-U of Md,Deanwood,4.6
College Park-U of Md,Medical Center,5.55
College Park-U of Md,Georgia Ave-Petworth,3.3
College Park-U of Md,Dupont Circle,4.3
College Park-U of Md,McPherson Square,4.2
College Park-U of Md,Landover,4.85
College Park-U of Md,Spring Hill,6.0
College Park-U of Md,Ronald Reagan Washington National Airport,5.2
College Park-U of Md,Benning Road,4.7
College Park-U of Md,Farragut West,4.25
College Park-U of Md,Twinbrook,6.0
College Park-U of Md,Wiehle-Reston East,6.0
College Park-U of Md,Cheverly,4.7
Forest Glen,Silver Spring,2.25
Forest Glen,Rosslyn,4.55
Forest Glen,Farragut North,4.2
Forest Glen,Southern Avenue,5.6
Forest Glen,West Hyattsville,3.35
Forest Glen,Congress Heights,5.35
Forest Glen,Archives-Navy Memorial-Penn Quarter,4.2
Forest Glen,Waterfront,4.55
Forest Glen,Grosvenor-Strathmore,5.0
Forest Glen,Minnesota Ave,5.15
Forest Glen,Braddock Road,6.0
Forest Glen,East Falls Church,5.65
Forest Glen,Capitol South,4.5
Forest Glen,Naylor Road,5.7
Forest Glen,Van Dorn Street,6.0
Forest Glen,Cleveland Park,4.25
Forest Glen,Court House,4.8
Forest Glen,Arlington Cemetery,4.8
Forest Glen,Mt Vernon Sq 7th St-Convention Center,3.95
Forest Glen,Pentagon,4.85
Forest Glen,Branch Ave,6.0
Forest Glen,Potomac Ave,4.75
Forest Glen,Union Station,4.0
Forest Glen,College Park-U of Md,3.95
Forest Glen,Anacostia,5.0
Forest Glen,Vienna/Fairfax-GMU,6.0
Forest Glen,Largo Town Center,6.0
Forest Glen,U Street/African-Amer Civil War Memorial/Cardozo,3.7
Forest Glen,Glenmont,2.35
Forest Glen,Franconia-Springfield,6.0
Forest Glen,L'Enfant Plaza,4.35
Forest Glen,Navy Yard-Ballpark,4.65
Forest Glen,Clarendon,4.9
Forest Glen,Greenbelt,4.35
Forest Glen,NoMa-Gallaudet U,3.8
Forest Glen,McLean,6.0
Forest Glen,Woodley Park-Zoo/Adams Morgan,4.2
Forest Glen,Shaw-Howard U,3.8
Forest Glen,Federal Triangle,4.2
Forest Glen,Tysons Corner,6.0
Forest Glen,Federal Center SW,4.4
Forest Glen,New Carrollton,6.0
Forest Glen,Friendship Heights,4.45
Forest Glen,Huntington,6.0
Forest Glen,King St-Old Town,6.0
Forest Glen,Crystal City,5.15
Forest Glen,White Flint,5.35
Forest Glen,Takoma,2.25
Forest Glen,Smithsonian,4.35
Forest Glen,Bethesda,4.55
Forest Glen,Shady Grove,6.0
Forest Glen,Prince George's Plaza,3.5
Forest Glen,Dunn Loring-Merrifield,6.0
Forest Glen,Judiciary Square,4.1
Forest Glen,Stadium-Armory,4.8
Forest Glen,Gallery Pl-Chinatown,4.1
Forest Glen,Brookland-CUA,3.3
Forest Glen,Eastern Market,4.6
Forest Glen,Van Ness-UDC,4.25
Forest Glen,Capitol Heights,5.65
Forest Glen,Rockville,6.0
Forest Glen,Greensboro,6.0
Forest Glen,Rhode Island Ave-Brentwood,3.55
Forest Glen,Fort Totten,2.9
Forest Glen,West Falls Church-VT/UVA,6.0
Forest Glen,Columbia Heights,3.45
Forest Glen,Suitland,6.0
Forest Glen,Eisenhower Avenue,6.0
Forest Glen,Foggy Bottom-GWU,4.3
Forest Glen,Ballston-MU,5.15
Forest Glen,Pentagon City,5.0
Forest Glen,Metro Center,4.15
Forest Glen,Morgan Boulevard,6.0
Forest Glen,Wheaton,2.25
Forest Glen,Virginia Square-GMU,5.05
Forest Glen,Addison Road-Seat Pleasant,5.9
Forest Glen,Tenleytown-AU,4.4
Forest Glen,Deanwood,5.25
Forest Glen,Medical Center,4.65
Forest Glen,Georgia Ave-Petworth,3.25
Forest Glen,Dupont Circle,4.2
Forest Glen,McPherson Square,4.15
Forest Glen,Landover,5.75
Forest Glen,Spring Hill,6.0
Forest Glen,Ronald Reagan Washington National Airport,5.25
Forest Glen,Benning Road,5.3
Forest Glen,Farragut West,4.2
Forest Glen,Twinbrook,5.65
Forest Glen,Wiehle-Reston East,6.0
Forest Glen,Cheverly,5.45
Anacostia,Silver Spring,4.5
Anacostia,Rosslyn,3.1
Anacostia,Farragut North,2.6
Anacostia,Southern Avenue,2.25
Anacostia,West Hyattsville,3.95
Anacostia,Congress Heights,2.25
Anacostia,Archives-Navy Memorial-Penn Quarter,2.25
Anacostia,Waterfront,2.25
Anacostia,Grosvenor-Strathmore,5.45
Anacostia,Minnesota Ave,3.05
Anacostia,Braddock Road,3.6
Anacostia,East Falls Church,4.45
Anacostia,Capitol South,2.25
Anacostia,Naylor Road,2.25
Anacostia,Van Dorn Street,4.8
Anacostia,Cleveland Park,3.35
Anacostia,Court House,3.35
Anacostia,Arlington Cemetery,2.95
Anacostia,Mt Vernon Sq 7th St-Convention Center,2.45
Anacostia,Pentagon,2.6
Anacostia,Branch Ave,3.2
Anacostia,Potomac Ave,2.25
Anacostia,Union Station,2.4
Anacostia,College Park-U of Md,4.7
Anacostia,Forest Glen,5.0
Anacostia,Vienna/Fairfax-GMU,6.0
Anacostia,Largo Town Center,4.65
Anacostia,U Street/African-Amer Civil War Memorial/Cardozo,2.75
Anacostia,Glenmont,5.95
Anacostia,Franconia-Springfield,5.7
Anacostia,L'Enfant Plaza,2.25
Anacostia,Navy Yard-Ballpark,2.25
Anacostia,Clarendon,3.45
Anacostia,Greenbelt,5.4
Anacostia,NoMa-Gallaudet U,2.6
Anacostia,McLean,5.6
Anacostia,Woodley Park-Zoo/Adams Morgan,3.15
Anacostia,Shaw-Howard U,2.6
Anacostia,Federal Triangle,2.3
Anacostia,Tysons Corner,5.8
Anacostia,Federal Center SW,2.25
Anacostia,New Carrollton,4.6
Anacostia,Friendship Heights,4.05
Anacostia,Huntington,4.1
Anacostia,King St-Old Town,3.75
Anacostia,Crystal City,2.8
Anacostia,White Flint,5.85
Anacostia,Takoma,4.1
Anacostia,Smithsonian,2.25
Anacostia,Bethesda,4.55
Anacostia,Shady Grove,6.0
Anacostia,Prince George's Plaza,4.25
Anacostia,Dunn Loring-Merrifield,5.6
Anacostia,Judiciary Square,2.3
Anacostia,Stadium-Armory,2.45
Anacostia,Gallery Pl-Chinatown,2.3
Anacostia,Brookland-CUA,3.2
Anacostia,Eastern Market,2.25
Anacostia,Van Ness-UDC,3.55
Anacostia,Capitol Heights,3.55
Anacostia,Rockville,6.0
Anacostia,Greensboro,6.0
Anacostia,Rhode Island Ave-Brentwood,2.95
Anacostia,Fort Totten,3.6
Anacostia,West Falls Church-VT/UVA,5.0
Anacostia,Columbia Heights,3.05
Anacostia,Suitland,2.7
Anacostia,Eisenhower Avenue,3.95
Anacostia,Foggy Bottom-GWU,2.75
Anacostia,Ballston-MU,3.75
Anacostia,Pentagon City,2.75
Anacostia,Metro Center,2.35
Anacostia,Morgan Boulevard,4.25
Anacostia,Wheaton,5.45
Anacostia,Virginia Square-GMU,3.6
Anacostia,Addison Road-Seat Pleasant,3.8
Anacostia,Tenleytown-AU,3.85
Anacostia,Deanwood,3.35
Anacostia,Medical Center,4.8
Anacostia,Georgia Ave-Petworth,3.25
Anacostia,Dupont Circle,2.75
Anacostia,McPherson Square,2.5
Anacostia,Landover,4.2
Anacostia,Spring Hill,6.0
Anacostia,Ronald Reagan Washington National Airport,2.8
Anacostia,Benning Road,3.15
Anacostia,Farragut West,2.6
Anacostia,Twinbrook,6.0
Anacostia,Wiehle-Reston East,6.0
Anacostia,Cheverly,3.7
Vienna/Fairfax-GMU,Silver Spring,6.0
Vienna/Fairfax-GMU,Rosslyn,4.8
Vienna/Fairfax-GMU,Farragut North,5.55
Vienna/Fairfax-GMU,Southern Avenue,6.0
Vienna/Fairfax-GMU,West Hyattsville,6.0
Vienna/Fairfax-GMU,Congress Heights,6.0
Vienna/Fairfax-GMU,Archives-Navy Memorial-Penn Quarter,5.65
Vienna/Fairfax-GMU,Waterfront,5.9
Vienna/Fairfax-GMU,Grosvenor-Strathmore,6.0
Vienna/Fairfax-GMU,Minnesota Ave,6.0
Vienna/Fairfax-GMU,Braddock Road,6.0
Vienna/Fairfax-GMU,East Falls Church,3.4
Vienna/Fairfax-GMU,Capitol South,6.0
Vienna/Fairfax-GMU,Naylor Road,6.0
Vienna/Fairfax-GMU,Van Dorn Street,6.0
Vienna/Fairfax-GMU,Cleveland Park,5.85
Vienna/Fairfax-GMU,Court House,4.55
Vienna/Fairfax-GMU,Arlington Cemetery,5.0
Vienna/Fairfax-GMU,Mt Vernon Sq 7th St-Convention Center,5.7
Vienna/Fairfax-GMU,Pentagon,5.25
Vienna/Fairfax-GMU,Branch Ave,6.0
Vienna/Fairfax-GMU,Potomac Ave,6.0
Vienna/Fairfax-GMU,Union Station,5.9
Vienna/Fairfax-GMU,College Park-U of Md,6.0
Vienna/Fairfax-GMU,Forest Glen,6.0
Vienna/Fairfax-GMU,Anacostia,6.0
Vienna/Fairfax-GMU,Largo Town Center,6.0
Vienna/Fairfax-GMU,U Street/African-Amer Civil War Memorial/Cardozo,5.85
Vienna/Fairfax-GMU,Glenmont,6.0
Vienna/Fairfax-GMU,Franconia-Springfield,6.0
Vienna/Fairfax-GMU,L'Enfant Plaza,5.75
Vienna/Fairfax-GMU,Navy Yard-Ballpark,6.0
Vienna/Fairfax-GMU,Clarendon,4.4
Vienna/Fairfax-GMU,Greenbelt,6.0
Vienna/Fairfax-GMU,NoMa-Gallaudet U,6.0
Vienna/Fairfax-GMU,McLean,3.85
Vienna/Fairfax-GMU,Woodley Park-Zoo/Adams Morgan,5.75
Vienna/Fairfax-GMU,Shaw-Howard U,5.8
Vienna/Fairfax-GMU,Federal Triangle,5.6
Vienna/Fairfax-GMU,Tysons Corner,3.85
Vienna/Fairfax-GMU,Federal Center SW,5.85
Vienna/Fairfax-GMU,New Carrollton,6.0
Vienna/Fairfax-GMU,Friendship Heights,6.0
Vienna/Fairfax-GMU,Huntington,6.0
Vienna/Fairfax-GMU,King St-Old Town,6.0
Vienna/Fairfax-GMU,Crystal City,5.5
Vienna/Fairfax-GMU,White Flint,6.0
Vienna/Fairfax-GMU,Takoma,6.0
Vienna/Fairfax-GMU,Smithsonian,5.6
Vienna/Fairfax-GMU,Bethesda,6.0
Vienna/Fairfax-GMU,Shady Grove,6.0
Vienna/Fairfax-GMU,Prince George's Plaza,6.0
Vienna/Fairfax-GMU,Dunn Loring-Merrifield,2.25
Vienna/Fairfax-GMU,Judiciary Square,5.7
Vienna/Fairfax-GMU,Stadium-Armory,6.0
Vienna/Fairfax-GMU,Gallery Pl-Chinatown,5.6
Vienna/Fairfax-GMU,Brookland-CUA,6.0
Vienna/Fairfax-GMU,Eastern Market,6.0
Vienna/Fairfax-GMU,Van Ness-UDC,5.95
Vienna/Fairfax-GMU,Capitol Heights,6.0
Vienna/Fairfax-GMU,Rockville,6.0
Vienna/Fairfax-GMU,Greensboro,3.9
Vienna/Fairfax-GMU,Rhode Island Ave-Brentwood,6.0
Vienna/Fairfax-GMU,Fort Totten,6.0
Vienna/Fairfax-GMU,West Falls Church-VT/UVA,2.85
Vienna/Fairfax-GMU,Columbia Heights,5.95
Vienna/Fairfax-GMU,Suitland,6.0
Vienna/Fairfax-GMU,Eisenhower Avenue,6.0
Vienna/Fairfax-GMU,Foggy Bottom-GWU,5.15
Vienna/Fairfax-GMU,Ballston-MU,4.1
Vienna/Fairfax-GMU,Pentagon City,5.3
Vienna/Fairfax-GMU,Metro Center,5.55
Vienna/Fairfax-GMU,Morgan Boulevard,6.0
Vienna/Fairfax-GMU,Wheaton,6.0
Vienna/Fairfax-GMU,Virginia Square-GMU,4.25
Vienna/Fairfax-GMU,Addison Road-Seat Pleasant,6.0
Vienna/Fairfax-GMU,Tenleytown-AU,6.0
Vienna/Fairfax-GMU,Deanwood,6.0
Vienna/Fairfax-GMU,Medical Center,6.0
Vienna/Fairfax-GMU,Georgia Ave-Petworth,6.0
Vienna/Fairfax-GMU,Dupont Circle,5.6
Vienna/Fairfax-GMU,McPherson Square,5.45
Vienna/Fairfax-GMU,Landover,6.0
Vienna/Fairfax-GMU,Spring Hill,4.05
Vienna/Fairfax-GMU,Ronald Reagan Washington National Airport,5.65
Vienna/Fairfax-GMU,Benning Road,6.0
Vienna/Fairfax-GMU,Farragut West,5.3
Vienna/Fairfax-GMU,Twinbrook,6.0
Vienna/Fairfax-GMU,Wiehle-Reston East,5.2
Vienna/Fairfax-GMU,Cheverly,6.0
Largo Town Center,Silver Spring,6.0
Largo Town Center,Rosslyn,5.35
Largo Town Center,Farragut North,4.85
Largo Town Center,Southern Avenue,4.9
Largo Town Center,West Hyattsville,5.25
Largo Town Center,Congress Heights,4.85
Largo Town Center,Archives-Navy Memorial-Penn Quarter,4.5
Largo Town Center,Waterfront,4.5
Largo Town Center,Grosvenor-Strathmore,6.0
Largo Town Center,Minnesota Ave,3.75
Largo Town Center,Braddock Road,5.9
Largo Town Center,East Falls Church,6.0
Largo Town Center,Capitol South,4.15
Largo Town Center,Naylor Road,4.95
Largo Town Center,Van Dorn Street,6.0
Largo Town Center,Cleveland Park,5.35
Largo Town Center,Court House,5.65
