ENTDATESERVICETYPE,ENTDATEDAYOFWEEK,ENTSTATION,EXTSTATION,ENTPERIOD,ENTQUARTHOUR,AVG_TRIPS,congestion_level,old_cost,new_cost
Weekday,Wed,Franconia-Springfield,Gallery Pl-Chinatown,AM Peak,8:00 AM to 8:15 AM,22,3.0,,
Sunday,Sun,Georgia Ave-Petworth,Pentagon City,Midday,2:45 PM to 3:00 PM,2,1.0,,
Weekday,Fri,Metro Center,L'Enfant Plaza,Midday,1:15 PM to 1:30 PM,5,1.0,,
Weekday,Thu,Ronald Reagan Washington National Airport,Braddock Road,Evening,11:15 PM to 11:30 PM,1,1.0,,
Weekday,Fri,White Flint,Stadium-Armory,PM Peak,6:00 PM to 6:15 PM,2,1.0,,
Saturday,Sat,Dupont Circle,Union Station,AM Peak,8:30 AM to 8:45 AM,7,1.0,,
Weekday,Fri,Grosvenor-Strathmore,Woodley Park-Zoo/Adams Morgan,Midday,2:00 PM to 2:15 PM,3,1.0,,
Sunday,Sun,Pentagon City,Tenleytown-AU,PM Peak,3:30 PM to 3:45 PM,1,1.0,,
Weekday,Fri,Georgia Ave-Petworth,Judiciary Square,Midday,11:45 AM to 12:00 PM,1,1.0,,
Saturday,Sat,McLean,Metro Center,Midday,11:30 AM to 11:45 AM,1,1.0,,
Saturday,Sat,Arlington Cemetery,Woodley Park-Zoo/Adams Morgan,Midday,2:00 PM to 2:15 PM,2,1.0,,
Weekday,Wed,Rosslyn,Virginia Square-GMU,AM Peak,7:00 AM to 7:15 AM,3,1.0,,
Weekday,Mon,Waterfront,Union Station,Midday,1:00 PM to 1:15 PM,3,1.0,,
Weekday,Mon,Twinbrook,Landover,Evening,7:15 PM to 7:30 PM,1,1.0,,
Sunday,Sun,Brookland-CUA,Pentagon,Evening,8:00 PM to 8:15 PM,1,1.0,,
Saturday,Sat,U Street/African-Amer Civil War Memorial/Cardozo,U Street/African-Amer Civil War Memorial/Cardozo,Midday,11:45 AM to 12:00 PM,1,1.0,,
Sunday,Sun,Foggy Bottom-GWU,Largo Town Center,PM Peak,6:30 PM to 6:45 PM,4,1.0,,
Weekday,Tue,Metro Center,Pentagon City,PM Peak,6:30 PM to 6:45 PM,12,2.0,,
Weekday,Mon,Fort Totten,Ronald Reagan Washington National Airport,AM Peak,7:45 AM to 8:00 AM,1,1.0,,
Weekday,Mon,Pentagon City,Pentagon,Midday,2:30 PM to 2:45 PM,8,1.0,,
Weekday,Wed,Friendship Heights,Rockville,PM Peak,5:00 PM to 5:15 PM,4,1.0,,
Sunday,Sun,Ronald Reagan Washington National Airport,Federal Center SW,PM Peak,5:00 PM to 5:15 PM,1,1.0,,
Sunday,Sun,Clarendon,Eastern Market,Midday,2:00 PM to 2:15 PM,2,1.0,,
Saturday,Sat,Rhode Island Ave-Brentwood,Waterfront,Midday,12:30 PM to 12:45 PM,2,1.0,,
Sunday,Sun,Takoma,Fort Totten,PM Peak,4:00 PM to 4:15 PM,2,1.0,,
Weekday,Fri,Crystal City,Foggy Bottom-GWU,Evening,8:15 PM to 8:30 PM,4,1.0,,
Weekday,Mon,Smithsonian,McLean,PM Peak,6:15 PM to 6:30 PM,2,1.0,,
Weekday,Mon,Judiciary Square,Court House,Midday,1:15 PM to 1:30 PM,1,1.0,,
Weekday,Mon,Navy Yard-Ballpark,Farragut North,AM Peak,9:15 AM to 9:30 AM,5,1.0,,
Weekday,Tue,Glenmont,King St-Old Town,AM Peak,7:15 AM to 7:30 AM,6,1.0,,
Weekday,Mon,Huntington,Mt Vernon Sq 7th St-Convention Center,AM Peak,9:15 AM to 9:30 AM,2,1.0,,
Saturday,Sat,Clarendon,Foggy Bottom-GWU,Midday,2:00 PM to 2:15 PM,3,1.0,,
Weekday,Tue,Rockville,Potomac Ave,Midday,9:30 AM to 9:45 AM,1,1.0,,
Weekday,Tue,L'Enfant Plaza,Van Ness-UDC,PM Peak,3:30 PM to 3:45 PM,3,1.0,,
Weekday,Tue,Bethesda,Shady Grove,Evening,7:45 PM to 8:00 PM,6,1.0,,
Weekday,Tue,Union Station,Columbia Heights,PM Peak,6:30 PM to 6:45 PM,24,3.0,,
Weekday,Tue,Foggy Bottom-GWU,Ballston-MU,PM Peak,6:45 PM to 7:00 PM,29,3.0,,
Weekday,Fri,Tysons Corner,Clarendon,Midday,9:30 AM to 9:45 AM,1,1.0,,
Weekday,Thu,Shaw-Howard U,Forest Glen,Midday,2:30 PM to 2:45 PM,1,1.0,,
Weekday,Fri,Farragut North,NoMa-Gallaudet U,PM Peak,3:45 PM to 4:00 PM,11,2.0,,
Saturday,Sat,Foggy Bottom-GWU,Bethesda,Midday,9:45 AM to 10:00 AM,1,1.0,,
Weekday,Fri,Fort Totten,West Hyattsville,AM Peak,8:00 AM to 8:15 AM,1,1.0,,
Weekday,Thu,Silver Spring,Dupont Circle,Midday,11:15 AM to 11:30 AM,3,1.0,,
Weekday,Mon,Ronald Reagan Washington National Airport,Fort Totten,Evening,9:45 PM to 10:00 PM,7,1.0,,
Weekday,Mon,Foggy Bottom-GWU,Foggy Bottom-GWU,Evening,10:15 PM to 10:30 PM,1,1.0,,
Weekday,Mon,College Park-U of Md,Foggy Bottom-GWU,AM Peak,6:45 AM to 7:00 AM,3,1.0,,
Weekday,Mon,Huntington,Huntington,AM Peak,6:45 AM to 7:00 AM,3,1.0,,
Weekday,Mon,Takoma,Brookland-CUA,AM Peak,8:15 AM to 8:30 AM,8,1.0,,
Weekday,Tue,NoMa-Gallaudet U,NoMa-Gallaudet U,AM Peak,8:30 AM to 8:45 AM,3,1.0,,
Weekday,Thu,Ronald Reagan Washington National Airport,Stadium-Armory,PM Peak,3:30 PM to 3:45 PM,1,1.0,,
Weekday,Thu,Farragut West,Ballston-MU,PM Peak,5:30 PM to 5:45 PM,61,3.0,,
Weekday,Thu,Pentagon City,Metro Center,AM Peak,9:00 AM to 9:15 AM,17,2.0,,
Weekday,Thu,Prince George's Plaza,Archives-Navy Memorial-Penn Quarter,Midday,10:15 AM to 10:30 AM,3,1.0,,
Weekday,Thu,Judiciary Square,Silver Spring,PM Peak,4:15 PM to 4:30 PM,14,2.0,,
Weekday,Thu,Farragut West,Wiehle-Reston East,AM Peak,8:00 AM to 8:15 AM,4,1.0,,
Weekday,Tue,Pentagon City,Crystal City,Midday,2:00 PM to 2:15 PM,4,1.0,,
Weekday,Tue,Pentagon City,Federal Center SW,AM Peak,8:00 AM to 8:15 AM,9,1.0,,
Weekday,Mon,West Falls Church-VT/UVA,L'Enfant Plaza,Midday,12:45 PM to 1:00 PM,2,1.0,,
Weekday,Tue,Foggy Bottom-GWU,Suitland,PM Peak,6:45 PM to 7:00 PM,2,1.0,,
Weekday,Tue,Crystal City,Suitland,PM Peak,4:30 PM to 4:45 PM,5,1.0,,
Weekday,Tue,Tenleytown-AU,Shady Grove,PM Peak,4:45 PM to 5:00 PM,8,1.0,,
Weekday,Tue,Van Ness-UDC,Brookland-CUA,PM Peak,3:30 PM to 3:45 PM,3,1.0,,
Weekday,Tue,Ronald Reagan Washington National Airport,Farragut West,Midday,10:30 AM to 10:45 AM,5,1.0,,
Weekday,Fri,Farragut West,Pentagon,Late Night Peak,12:30 AM to 12:45 AM,1,1.0,,
Weekday,Fri,Benning Road,Prince George's Plaza,AM Peak,8:45 AM to 9:00 AM,1,1.0,,
Weekday,Fri,West Hyattsville,Takoma,Evening,10:15 PM to 10:30 PM,1,1.0,,
Weekday,Fri,Farragut North,Branch Ave,PM Peak,6:45 PM to 7:00 PM,5,1.0,,
Saturday,Sat,Pentagon City,Tysons Corner,PM Peak,4:00 PM to 4:15 PM,3,1.0,,
Saturday,Sat,Stadium-Armory,Huntington,PM Peak,3:45 PM to 4:00 PM,2,1.0,,
Weekday,Mon,Tenleytown-AU,Metro Center,Midday,9:30 AM to 9:45 AM,11,2.0,,
Weekday,Wed,Farragut North,Fort Totten,Midday,11:15 AM to 11:30 AM,2,1.0,,
Weekday,Wed,Gallery Pl-Chinatown,Van Ness-UDC,Evening,11:00 PM to 11:15 PM,2,1.0,,
Weekday,Fri,Federal Center SW,Silver Spring,Midday,2:45 PM to 3:00 PM,1,1.0,,
Weekday,Fri,U Street/African-Amer Civil War Memorial/Cardozo,Medical Center,PM Peak,6:30 PM to 6:45 PM,2,1.0,,
Saturday,Sat,Anacostia,Dupont Circle,PM Peak,3:00 PM to 3:15 PM,2,1.0,,
Weekday,Tue,Navy Yard-Ballpark,Brookland-CUA,Evening,9:15 PM to 9:30 PM,1,1.0,,
Weekday,Tue,Wiehle-Reston East,Virginia Square-GMU,Evening,10:45 PM to 11:00 PM,1,1.0,,
Weekday,Tue,Rosslyn,Clarendon,Midday,12:15 PM to 12:30 PM,3,1.0,,
Weekday,Tue,Naylor Road,Prince George's Plaza,AM Peak,5:30 AM to 5:45 AM,1,1.0,,
Weekday,Tue,Archives-Navy Memorial-Penn Quarter,Pentagon,AM Peak,7:00 AM to 7:15 AM,2,1.0,,
Weekday,Mon,Capitol Heights,Smithsonian,AM Peak,8:30 AM to 8:45 AM,2,1.0,,
Weekday,Mon,College Park-U of Md,Georgia Ave-Petworth,Evening,7:45 PM to 8:00 PM,3,1.0,,
Weekday,Mon,Southern Avenue,Southern Avenue,Midday,9:30 AM to 9:45 AM,1,1.0,,
Weekday,Mon,King St-Old Town,Dunn Loring-Merrifield,Evening,7:00 PM to 7:15 PM,2,1.0,,
Weekday,Mon,Union Station,Columbia Heights,PM Peak,3:15 PM to 3:30 PM,8,1.0,,
Weekday,Thu,Deanwood,Rhode Island Ave-Brentwood,AM Peak,8:30 AM to 8:45 AM,1,1.0,,
Weekday,Thu,Congress Heights,Suitland,AM Peak,7:15 AM to 7:30 AM,2,1.0,,
Weekday,Wed,Van Dorn Street,Columbia Heights,AM Peak,8:00 AM to 8:15 AM,2,1.0,,
Weekday,Tue,King St-Old Town,Smithsonian,Midday,12:30 PM to 12:45 PM,3,1.0,,
Weekday,Tue,Dupont Circle,Vienna/Fairfax-GMU,PM Peak,6:00 PM to 6:15 PM,8,1.0,,
Weekday,Tue,Georgia Ave-Petworth,Mt Vernon Sq 7th St-Convention Center,Midday,2:00 PM to 2:15 PM,2,1.0,,
Sunday,Sun,Largo Town Center,Addison Road-Seat Pleasant,AM Peak,6:15 AM to 6:30 AM,1,1.0,,
Weekday,Fri,L'Enfant Plaza,Branch Ave,PM Peak,6:45 PM to 7:00 PM,5,1.0,,
Weekday,Tue,McPherson Square,Southern Avenue,Midday,1:00 PM to 1:15 PM,2,1.0,,
Weekday,Mon,Van Dorn Street,Benning Road,Midday,11:30 AM to 11:45 AM,1,1.0,,
Weekday,Tue,Pentagon City,Eastern Market,PM Peak,5:15 PM to 5:30 PM,2,1.0,,
Weekday,Thu,Smithsonian,Friendship Heights,PM Peak,5:15 PM to 5:30 PM,9,1.0,,
Weekday,Tue,Federal Triangle,Bethesda,PM Peak,3:30 PM to 3:45 PM,3,1.0,,
Weekday,Tue,Dunn Loring-Merrifield,Mt Vernon Sq 7th St-Convention Center,PM Peak,5:00 PM to 5:15 PM,1,1.0,,
Weekday,Tue,Pentagon,Addison Road-Seat Pleasant,PM Peak,6:45 PM to 7:00 PM,2,1.0,,
Weekday,Tue,Pentagon,NoMa-Gallaudet U,Midday,12:15 PM to 12:30 PM,4,1.0,,
Weekday,Tue,Silver Spring,Tenleytown-AU,Midday,12:45 PM to 1:00 PM,1,1.0,,
Weekday,Mon,Braddock Road,Rosslyn,PM Peak,6:00 PM to 6:15 PM,1,1.0,,
Weekday,Mon,Rosslyn,New Carrollton,Evening,11:00 PM to 11:15 PM,1,1.0,,
Weekday,Mon,Largo Town Center,White Flint,Midday,2:30 PM to 2:45 PM,2,1.0,,
Weekday,Mon,East Falls Church,Clarendon,Midday,12:45 PM to 1:00 PM,2,1.0,,
Weekday,Wed,Judiciary Square,Eastern Market,PM Peak,5:30 PM to 5:45 PM,2,1.0,,
Weekday,Thu,Columbia Heights,Smithsonian,AM Peak,5:15 AM to 5:30 AM,1,1.0,,
Weekday,Thu,Shady Grove,Smithsonian,AM Peak,5:15 AM to 5:30 AM,8,1.0,,
Weekday,Wed,Eastern Market,Metro Center,AM Peak,7:00 AM to 7:15 AM,4,1.0,,
Weekday,Tue,Gallery Pl-Chinatown,Forest Glen,PM Peak,3:15 PM to 3:30 PM,3,1.0,,
Weekday,Tue,Gallery Pl-Chinatown,Stadium-Armory,PM Peak,4:15 PM to 4:30 PM,1,1.0,,
Weekday,Tue,Woodley Park-Zoo/Adams Morgan,Metro Center,Midday,2:15 PM to 2:30 PM,6,1.0,,
Weekday,Mon,Anacostia,New Carrollton,PM Peak,3:30 PM to 3:45 PM,1,1.0,,
Weekday,Wed,Foggy Bottom-GWU,Eastern Market,PM Peak,3:15 PM to 3:30 PM,11,2.0,,
Weekday,Thu,Suitland,L'Enfant Plaza,AM Peak,9:00 AM to 9:15 AM,9,1.0,,
Weekday,Thu,Smithsonian,Brookland-CUA,PM Peak,3:15 PM to 3:30 PM,1,1.0,,
Weekday,Wed,Woodley Park-Zoo/Adams Morgan,Federal Center SW,AM Peak,6:00 AM to 6:15 AM,2,1.0,,
Weekday,Tue,Federal Center SW,Southern Avenue,Evening,7:45 PM to 8:00 PM,1,1.0,,
Weekday,Tue,Rockville,Largo Town Center,PM Peak,5:00 PM to 5:15 PM,3,1.0,,
Weekday,Thu,Takoma,Union Station,AM Peak,7:00 AM to 7:15 AM,18,2.0,,
Weekday,Wed,White Flint,Bethesda,Midday,1:30 PM to 1:45 PM,2,1.0,,
Weekday,Wed,Crystal City,Vienna/Fairfax-GMU,Midday,11:45 AM to 12:00 PM,1,1.0,,
Weekday,Wed,Pentagon,Capitol South,Midday,9:30 AM to 9:45 AM,3,1.0,,
Weekday,Thu,Pentagon City,Largo Town Center,PM Peak,6:00 PM to 6:15 PM,3,1.0,,
Weekday,Wed,Georgia Ave-Petworth,U Street/African-Amer Civil War Memorial/Cardozo,PM Peak,5:00 PM to 5:15 PM,5,1.0,,
Weekday,Wed,Van Ness-UDC,Van Ness-UDC,AM Peak,8:00 AM to 8:15 AM,1,1.0,,
Weekday,Thu,Takoma,Rosslyn,Midday,2:15 PM to 2:30 PM,1,1.0,,
Weekday,Wed,Eastern Market,U Street/African-Amer Civil War Memorial/Cardozo,AM Peak,8:45 AM to 9:00 AM,1,1.0,,
Weekday,Wed,Foggy Bottom-GWU,Suitland,AM Peak,5:00 AM to 5:15 AM,2,1.0,,
Saturday,Sat,Archives-Navy Memorial-Penn Quarter,Waterfront,Evening,10:15 PM to 10:30 PM,5,1.0,,
Weekday,Wed,New Carrollton,Farragut West,PM Peak,3:45 PM to 4:00 PM,2,1.0,,
Saturday Holiday,Mon,Judiciary Square,Union Station,PM Peak,3:15 PM to 3:30 PM,3,1.0,,
Saturday Holiday,Mon,Shaw-Howard U,Ballston-MU,PM Peak,6:45 PM to 7:00 PM,1,1.0,,
Weekday,Thu,Tenleytown-AU,Cleveland Park,PM Peak,6:45 PM to 7:00 PM,3,1.0,,
Saturday,Sat,Smithsonian,College Park-U of Md,PM Peak,3:30 PM to 3:45 PM,5,1.0,,
Sunday,Sun,Grosvenor-Strathmore,Bethesda,Midday,12:15 PM to 12:30 PM,2,1.0,,
Saturday,Sat,Georgia Ave-Petworth,Columbia Heights,Evening,10:00 PM to 10:15 PM,2,1.0,,
Saturday,Sat,Smithsonian,Union Station,Midday,2:45 PM to 3:00 PM,8,1.0,,
Sunday,Sun,Ronald Reagan Washington National Airport,Union Station,PM Peak,5:15 PM to 5:30 PM,3,1.0,,
Sunday,Sun,Fort Totten,Branch Ave,PM Peak,4:15 PM to 4:30 PM,2,1.0,,
Weekday,Tue,Crystal City,L'Enfant Plaza,PM Peak,3:45 PM to 4:00 PM,9,1.0,,
Saturday,Sat,Foggy Bottom-GWU,Shaw-Howard U,Evening,8:45 PM to 9:00 PM,3,1.0,,
Weekday,Fri,Silver Spring,Clarendon,AM Peak,7:30 AM to 7:45 AM,2,1.0,,
Weekday,Fri,Southern Avenue,Mt Vernon Sq 7th St-Convention Center,Midday,12:15 PM to 12:30 PM,1,1.0,,
Weekday,Fri,Silver Spring,Clarendon,PM Peak,3:45 PM to 4:00 PM,1,1.0,,
Weekday,Fri,Columbia Heights,Union Station,AM Peak,6:30 AM to 6:45 AM,6,1.0,,
